timestamps,open,high,low,close,volume,amount
2025-07-13 19:00:00 UTC,118992.73,119488.0,118897.44,118961.08,601.53222,71558922.5459976
2025-07-13 20:00:00 UTC,118961.09,119367.37,118826.0,119083.6,290.26988,34566382.281968005
2025-07-13 21:00:00 UTC,119083.6,119083.6,118500.01,118648.87,421.07599,49960190.397631295
2025-07-13 22:00:00 UTC,118648.86,118774.64,118243.68,118520.01,584.71541,69300476.2403541
2025-07-13 23:00:00 UTC,118520.01,119198.0,118386.55,119086.64,364.38555,43393450.814052
2025-07-14 00:00:00 UTC,119086.65,119470.54,118916.17,119061.4,538.61781,64128590.52353399
2025-07-14 01:00:00 UTC,119061.4,119238.1,118905.18,119100.58,349.35207,41608034.161200605
2025-07-14 02:00:00 UTC,119100.58,119999.0,118969.56,119647.88,1311.09415,156869635.527902
2025-07-14 03:00:00 UTC,119647.88,121492.48,119592.7,120750.24,3219.468856,388751637.03452545
2025-07-14 04:00:00 UTC,120750.25,121438.27,120557.63,121400.0,1343.86331,163145005.834
2025-07-14 05:00:00 UTC,121400.0,122666.0,121129.0,122461.99,2704.498689,331198291.4073311
2025-07-14 06:00:00 UTC,122461.99,122465.3,122017.81,122130.99,1146.85917,140067045.8226783
2025-07-14 07:00:00 UTC,122130.99,123218.0,122100.0,122736.04,1786.579052,219277637.98943406
2025-07-14 08:00:00 UTC,122736.04,122769.19,122300.0,122578.0,851.02194,104316567.36132
2025-07-14 09:00:00 UTC,122578.01,122582.97,121888.44,121973.74,929.42357,113365268.87705182
2025-07-14 10:00:00 UTC,121973.74,122130.65,121628.47,121905.48,742.89705,90563221.470834
2025-07-14 11:00:00 UTC,121905.48,121905.48,121355.55,121467.24,755.99271,91828347.9438204
2025-07-14 12:00:00 UTC,121467.23,121945.63,121400.01,121918.0,930.72081,113471619.71358
2025-07-14 13:00:00 UTC,121918.01,122120.0,121188.0,121710.64,1151.85025,140192431.11166
2025-07-14 14:00:00 UTC,121710.64,121990.42,120600.0,121158.89,1855.94127,224863784.1783903
2025-07-14 15:00:00 UTC,121158.88,121176.26,119611.7,119878.23,2109.20019,252847185.49286368
2025-07-14 16:00:00 UTC,119878.22,120299.58,119202.0,120268.87,1443.04559,173553462.46778327
2025-07-14 17:00:00 UTC,120268.88,120526.03,119769.4,119896.42,1173.36404,140682147.75273678
2025-07-14 18:00:00 UTC,119896.42,120192.73,119632.0,119644.94,812.38191,97197384.8790354
2025-07-14 19:00:00 UTC,119644.93,120103.31,119610.92,119939.41,698.45342,83772091.1072822
2025-07-14 20:00:00 UTC,119939.42,120447.0,119522.72,120167.07,552.37318,66377066.58718261
2025-07-14 21:00:00 UTC,120167.06,120244.5,119827.34,120034.98,290.33134,34849916.5902732
2025-07-14 22:00:00 UTC,120034.97,120300.0,119924.0,120057.01,297.55117,35723103.7922017
2025-07-14 23:00:00 UTC,120057.01,120057.01,119766.05,119841.18,274.46733,32892488.6986494
2025-07-15 00:00:00 UTC,119841.17,119940.83,119110.0,119497.92,646.74195,77284317.801744
2025-07-15 01:00:00 UTC,119497.93,119537.22,118352.09,118431.71,1780.21194,210833544.2166174
